Syskon och keldjur|Sisaruksia ja lemmikkejä
jag har|minulla on
ha, har|olla, omistaa
en lillasyster|pikkusisko
en syster, systern|sisko
som|joka
en storebror|isoveli
en bror, brodern|veli
snart|pian
fylla, fyller|täyttää
sexton|kuusitoista
dina syskon|sinun sisaruksesi
inte några|ei yhtään
tyvärr|valitettavasti
en hamster, hamstern|hamsteri
den|se
ett akvarium, akvariet med fiskar|akvaario, jossa on kaloja
några djur|joitakin eläimiä
ett djur, djuret|eläin
ganska många|aika monta
en hund, hunden|koira
ett marsvin|marsu
rolig|hauska
en papegoja, papegojan|papukaija
Kan den säga något?|Osaako se sanoa jotakin?
säga, säger|sanoa
God dag!|Päivää!
Tack! Bra!|Kiitos! Hyvä!
Hej då!|Hei sitten!
Ja gillar djur.|Pidän eläimistä.
gilla, gillar|pitää jstak
jag vill ha|haluan
en katt, katten|kissa
en styvpappa, styvpappan|isäpuoli
allergisk|allerginen
så|joten
mina|minun (monikko)
föräldrar|vanhemmat
köpa, köper|ostaa
en sköldpadda, sköldpaddan|kilpikonna
i stället|sen sijaan
Har du syskon?|Onko sinulla sisaruksia?
Har du en syster?|Onko sinulla siskoa?
Har du en bror?|Onko sinulla veljeä?
Har du några djur?|Onko sinulla eläimiä?
en häst, hästar|hevonen
en kanin, kaniner|kani
ett marsvin, marsvin|marsu
en hamster, hamstrar|hamsteri
en mus, möss|hiiri
en råtta, råttor|rotta
en gerbil, gerbiler|gerbiili
en papegoja, papegojor|papukaija
en undulat, undulater|undulaatti
en fisk, fiskar|kala
en tarantel, tarantlar|tarantella
en ödla, ödlor|lisko
en orm, ormar|käärme
en koja, kojor|koppi
en bur, burar|häkki
ett akvarium, akvarier|akvaario
ett terrarium, terrarier|terraario
